Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-07-25;914,40;915,00;904,20;923,40;900,40;914,80;915,933;306493;280727801,1;5426;
2019-07-24;904,00;904,60;902,80;909,60;900,00;901,80;903,26;225315;203530632,89;2889;
2019-07-23;901,60;902,00;900,80;904,40;898,40;902,20;901,969;161899;146026324,42;2703;
2019-07-22;897,40;898,00;898,80;900,60;892,80;899,00;897,734;162240;145641242,47;2325;
2019-07-19;896,40;896,60;895,00;900,60;892,80;898,80;897,909;230550;207007583,01;3343;
2019-07-18;892,00;892,60;890,00;896,60;883,40;893,00;891,686;209487;186786148,75;3207;
2019-07-17;891,20;891,60;896,00;899,00;890,60;892,60;893,718;316683;283020247,82;4677;
2019-07-16;896,60;896,80;901,60;902,20;892,80;896,00;897,307;318680;285957364,54;4491;
2019-07-15;902,20;902,60;895,00;906,20;893,80;900,80;900,53;306610;276113847,5;4202;
2019-07-12;898,60;899,20;912,80;914,20;893,60;900,20;899,973;399247;359319471,7;5512;
2019-07-11;912,20;912,60;909,60;917,60;909,60;912,40;914,327;321192;293751724,75;4917;
2019-07-10;912,80;913,60;915,20;918,20;906,20;913,00;911,768;226437;206446478,08;3746;
2019-07-09;917,80;918,20;920,80;925,00;911,40;918,00;917,306;261261;239638788,68;4110;
2019-07-08;919,60;919,80;910,00;923,60;910,00;923,60;919,896;325365;299263728,1;4212;
2019-07-05;906,40;906,80;917,40;920,00;903,60;908,00;910,148;215391;196047845,52;2749;
2019-07-04;915,80;916,20;918,00;921,20;913,60;914,20;915,46;209951;192206495,05;3603;
2019-07-03;921,20;921,60;892,80;923,20;892,80;918,80;914,899;391195;357871593,34;5733;
2019-07-02;892,00;892,40;875,00;892,60;875,00;892,60;889,588;269141;239406533,92;3638;
2019-07-01;877,60;878,00;875,40;882,80;872,40;878,00;877,432;204249;179203239,61;2706;
2019-06-28;871,80;872,40;863,80;872,00;862,40;870,20;869,032;266243;231358512,41;3551;
2019-06-27;863,00;863,60;865,60;872,60;859,80;864,40;864,917;386631;334406939,91;5783;
2019-06-26;881,20;881,60;884,20;887,60;879,60;881,00;881,628;248236;218865017,38;3670;
2019-06-25;887,20;888,00;880,00;891,20;879,00;887,80;887,534;236832;210196645,76;3662;
2019-06-24;884,00;884,20;874,60;886,20;873,40;886,20;882,579;281789;248678580,56;4224;
2019-06-21;876,80;877,40;880,80;886,60;874,60;874,60;877,379;388976;341338893,46;2897;
2019-06-20;882,80;883,20;888,80;889,60;881,40;882,60;883,921;337369;298198539,19;4077;
2019-06-19;882,20;882,80;890,00;890,00;877,60;881,80;882,45;310361;273887660,2;4042;
2019-06-18;892,00;892,40;881,40;898,40;880,40;889,80;891,598;280219;249715899,69;3618;
2019-06-17;881,80;882,20;880,00;886,60;878,60;882,00;882,307;219849;193982809,35;3046;
2019-06-14;880,20;880,60;902,00;903,20;872,40;880,00;882,583;377579;333286113,67;4711;
2019-06-13;906,60;907,40;906,60;909,60;903,20;906,00;906,159;274526;248766106,62;3304;
2019-06-12;910,00;910,60;892,80;910,00;890,00;908,00;905,16;419880;380333122,92;4384;
2019-06-11;891,00;891,20;898,40;898,80;885,20;892,80;891,226;386815;344693563,52;5422;
2019-06-07;894,00;894,40;892,00;895,40;886,20;895,40;892,874;233014;208044548,91;3193;
2019-06-06;887,00;887,40;880,00;892,60;875,00;888,40;886,307;416977;369552369,99;5496;
2019-06-04;863,60;864,20;878,00;878,00;863,80;864,60;866,79;417099;361540344,9;5839;
2019-06-03;874,20;874,60;871,80;879,60;865,00;878,00;875,176;450920;394622582,65;5504;
2019-05-29;878,40;879,00;900,20;900,60;876,40;880,60;884,217;341067;301597648,29;4456;
2019-05-28;901,20;901,40;904,00;904,00;896,60;902,80;902,336;703156;634433094,19;3452;
2019-05-27;901,80;902,00;899,40;909,60;896,00;899,60;903,039;215841;194914793,47;4136;
2019-05-24;896,80;897,20;884,60;898,00;882,20;894,80;893,078;241251;215443552,1;4173;
2019-05-23;882,20;882,40;883,80;887,40;879,60;882,20;882,714;271230;239419548,06;4439;
